start,end,today,deviceid,audit,enumerator_id,survey_consent,consent_no,consent_no_other,ki_sector,ki_sector_other,region_reporting,province_reporting,district_reporting,bsu_reporting,settlement_name,settlement_name_other,settlement_name_all,settlement_dulicate,duplicates,interview_type,ki_in_settlement,visited_settlement,ki_province_living,ki_district_living,settlement_events_year,settlement_events_year/events_active_conflict,settlement_events_year/events_earthquake,settlement_events_year/events_flood,settlement_events_year/events_avalanche_snowfall,settlement_events_year/events_drought,settlement_events_year/events_none,settlement_events_year/events_no_answer,settlement_events_3_months,settlement_events_3_months/events_active_conflict,settlement_events_3_months/events_earthquake,settlement_events_3_months/events_flood,settlement_events_3_months/events_avalanche_snowfall,settlement_events_3_months/events_drought,settlement_events_3_months/events_none,settlement_events_3_months/events_no_answer,displaced_3_months,pop_displaced,idp_3_months,returnee_3_months,activity_3_months,ag_own_land,livestock_own_animals,livelihood_conflict_disaster,livelihood_conflict_disaster/yes_livestock_impact,livelihood_conflict_disaster/yes_ag_impact,livelihood_conflict_disaster/yes_income_impact,livelihood_conflict_disaster/other,livelihood_conflict_disaster/conflict_no,livelihood_conflict_disaster/conflict_dont_know,conflict_disaster_other,livestock_negative_impacts,ag_negative_impacts,coping_consumed_seed,coping_beg_charity,coping_sold_land,hum_aid_3_months,type_assistance,type_assistance/assistance_food,type_assistance/assistance_shelter,type_assistance/assistance_health,type_assistance/assistance_wash,type_assistance/assistance_education,type_assistance/assistance_protection,type_assistance/assistance_dont_know,aid_info,mobile_network,bank_account,road_access,why_no_access,dist_centre_access,priority_needs,priority_needs/needs_shelter,priority_needs/needs_food,priority_needs/needs_health,priority_needs/needs_seeds,priority_needs/needs_employment,priority_needs/needs_water,priority_needs/needsd_hygiene,priority_needs/needs_documents,priority_needs/needs_protection,priority_needs/needs_education,priority_needs/needs_psycho_support,priority_needs/needs_none,priority_needs/needs_dont_know,food_access,hunger_level,market_available,borrow_food_money,borrow_food_proportion,reduced_food_children,reduced_food_proportion,malnutrition_severity,nutrition_access,shelter_type,no_shelter_open,shelter_damage,shelter_destroyed,shelter_repair,shelter_evicted,heating_source,nfi_market,health_functioning_access,health_closed,meds_access,birth_hospital,death_cause,more_ppl_died,edu_children,rel_school,edu_boys,edu_girls,children_removed,water_source,water_source_damage,water_access,reason_water_needs,soap_access,open_defecation,waste_disposal,safety_rating,adult_incidents,adult_incidents/verbal_threat,adult_incidents/assault_no_weapon,adult_incidents/assault_weapon,adult_incidents/hinder_move,adult_incidents/forced_work,adult_incidents/forced_detained,adult_incidents/forced_recruitment,adult_incidents/none,adult_incidents/dont_know,child_incidents,child_incidents/verbal_threat,child_incidents/assault_no_weapon,child_incidents/assault_weapon,child_incidents/hinder_move,child_incidents/forced_work,child_incidents/forced_detained,child_incidents/forced_recruitment,child_incidents/none,child_incidents/dont_know,other_incidents,other_incidents_other,civil_justice,boys_marriage,girls_marriage,explosive_hazards,explosive_impact,explosive_impact/constrain_service_access,explosive_impact/constrain_playing_access,explosive_impact/livelihood_income,explosive_impact/psych_wellbeing,explosive_impact/death_disability,explosive_impact/none,explosive_impact/dont_know,phys_injury_conflict,phys_injury_disaster,boys_work_no_school,girls_work_no_school,forced_leave,have_tazkira,men_tazkira,_id,_uuid,_submission_time,date,_validation_status,_index,enumerator_id_final,Dimension
2019-08-08T10:03:52.749+04:30,2019-08-08T10:37:15.619+04:30,43685,3.58E+14,,5,yes,,,sector_village_admin,president of shura,northern,faryab,pashtun_kot,khaja_namosi_yangi_ghalah,yang_qala,,yang_qala,khaja_namosi_yangi_ghalah_yang_qala,#REF!,face_to_face,yes,,,,events_active_conflict events_flood,1,0,1,0,0,0,0,events_active_conflict events_earthquake events_flood,1,1,1,0,0,0,0,yes,displ_20_50_hh,yes,yes,activityt_small_business,,,yes_livestock_impact yes_ag_impact yes_income_impact,1,1,1,0,0,0,,livestock_ill,ag_impact_more_half,yes,yes,yes,yes,assistance_food assistance_shelter assistance_wash,1,1,0,1,0,0,0,info_outside_comm,connect_few_hrs,account_very_few,yes,,access_2h,needs_food needs_water needs_protection,0,1,0,0,0,1,0,0,1,0,0,0,0,no,hunger_small,yes,yes,very_few,yes,very_few,malnour_very_few,no_too_far,shelter_makeshift,no,yes_both,less_20_hh,very_few,yes,heating_dung,no,no,yes,meds_expensive,no,natural_cause,no,no,yes,no,no,yes,pump_public,damage_both,half,water_not_functioning,yes,yes,hh_pit,okay,verbal_threat assault_no_weapon hinder_move,1,1,0,1,0,0,0,0,0,verbal_threat hinder_move forced_work,1,0,0,1,1,0,0,0,0,targeting_women,,no,yes,yes,yes,constrain_service_access constrain_playing_access psych_wellbeing,1,1,0,1,0,0,0,yes,yes,yes,yes,yes,no,account_very_few,64356509,c97c5ecd-4e07-48b5-aeaa-eae225f51122,2019-08-08T12:48:12,8/8/2019,,352,faryab_5,Mix
2019-08-08T14:54:33.016+04:30,2019-08-08T15:27:38.907+04:30,43685,3.58E+14,,5,yes,,,sector_ag_livestock,,northern,faryab,pashtun_kot,biron_sona_ghal_mori,ghalmori_kohi_safid,,ghalmori_kohi_safid,biron_sona_ghal_mori_ghalmori_kohi_safid,#REF!,face_to_face,yes,,,,events_active_conflict events_flood events_drought,1,0,1,0,1,0,0,events_active_conflict events_flood,1,0,1,0,0,0,0,yes,displ_20hh_less,yes,yes,activity_ag,yes,,yes_livestock_impact yes_ag_impact,1,1,0,0,0,0,,livestock_ill,ag_impact_half,yes,yes,yes,yes,assistance_food assistance_shelter assistance_wash,1,1,0,1,0,0,0,info_outside_comm,connect_few_hrs,account_none,yes,,access_2h,needs_health needs_employment needs_water,0,0,1,0,1,1,0,0,0,0,0,0,0,no,hunger_bad,no,yes,very_few,yes,very_few,malnour_less_half,no_not_accessible,shelter_bricks,yes,yes_disaster,less_20_hh,very_few,no,heating_wood,no,no,yes,meds_expensive,no,disease_cause,yes,no,no,no,no,yes,piped_public,damage_both,half,water_social_restrictions,yes,no,street_open_space,okay,verbal_threat hinder_move forced_work,1,0,0,1,1,0,0,0,0,verbal_threat assault_no_weapon forced_recruitment,1,1,0,0,0,0,1,0,0,incidents_other,Bombing,no,yes,yes,yes,constrain_service_access constrain_playing_access death_disability,1,1,0,0,1,0,0,yes,yes,yes,yes,no,no,account_half,64356576,15bfa000-9093-48fc-9f35-eda268bd57a5,2019-08-08T12:48:29,8/8/2019,,354,faryab_5,Mix
2019-08-08T15:47:30.406+04:30,2019-08-08T16:17:05.306+04:30,43685,3.58E+14,,5,yes,,,sector_village_admin,,northern,faryab,pashtun_kot,biron_sona_ghal_mori,ghalmori_toot_baghla,,ghalmori_toot_baghla,biron_sona_ghal_mori_ghalmori_toot_baghla,#REF!,face_to_face,yes,,,,events_active_conflict events_flood events_drought,1,0,1,0,1,0,0,events_active_conflict events_flood,1,0,1,0,0,0,0,yes,displ_few,yes,yes,activity_ag,yes,,yes_livestock_impact yes_ag_impact yes_income_impact,1,1,1,0,0,0,,livestock_died,ag_impact_half,yes,yes,yes,yes,assistance_food assistance_shelter assistance_wash,1,1,0,1,0,0,0,info_outside_comm,connect_few_days,account_none,yes,,access_2h,needs_health needs_water needs_education,0,0,1,0,0,1,0,0,0,1,0,0,0,no,hunger_small,no,yes,very_few,yes,very_few,malnour_dont_know,no_too_far,shelter_bricks,yes,yes_both,less_20_hh,very_few,no,heating_dung,no,no,yes,meds_not_available,no,disease_cause,yes,no,yes,no,no,yes,pump_public,damage_disaster,very_few,water_points_amount,yes,yes,street_open_space,okay,verbal_threat assault_weapon hinder_move,1,0,1,1,0,0,0,0,0,verbal_threat assault_no_weapon hinder_move,1,1,0,1,0,0,0,0,0,targeting_women,,no,yes,yes,no,,,,,,,,,no,yes,yes,yes,no,yes,account_more_half,64356613,74b93b16-f25d-4153-9434-7e9cc446199f,2019-08-08T12:48:37,8/8/2019,,355,faryab_5,Mix
2019-08-08T14:36:36.696+05,2019-08-08T15:14:18.306+05,43685,3.60E+14,,2,yes,,,sector_education,,eastern,kunar,shigal,shengash_dara,barshen_gash,,barshen_gash,shengash_dara_barshen_gash,#REF!,face_to_face,yes,,,,events_drought,0,0,0,0,1,0,0,events_none,0,0,0,0,0,1,0,,,yes,no,activity_ag,no,,,,,,,,,,,,yes,no,no,no,,,,,,,,,info_outside_comm,connect_few_hrs,account_very_few,no,no_road,access_half_day,needs_health needs_seeds needs_employment,0,0,1,1,1,0,0,0,0,0,0,0,0,no,hunger_small,no,yes,half,no,,malnour_very_few,no_not_accessible,shelter_bricks,no,,,,no,heating_wood,no,no,,meds_expensive,no,disease_cause,no,yes,no,yes,no,,piped_public,,almost_all,water_none,no,no,hh_pit,good,none,0,0,0,0,0,0,0,1,0,none,0,0,0,0,0,0,0,1,0,none,,no,no,no,no,,,,,,,,,,,yes,no,no,yes,account_more_half,64358642,111913a4-ebdc-4a7f-a2a5-ae43dd5a34fd,2019-08-08T13:09:15,8/8/2019,,356,kunar_2,Conflict Intensity
2019-08-08T15:42:21.697+05,2019-08-08T16:15:50.805+05,43685,3.60E+14,,2,yes,,,sector_village_admin,,eastern,kunar,shigal,shengash_dara,dab,,dab,shengash_dara_dab,#REF!,face_to_face,yes,,,,events_drought,0,0,0,0,1,0,0,events_none,0,0,0,0,0,1,0,,,yes,no,activity_ag,no,,,,,,,,,,,,yes,no,no,no,,,,,,,,,info_outside_comm,connect_few_days,account_very_few,yes,,access_2h,needs_health needs_seeds needs_employment,0,0,1,1,1,0,0,0,0,0,0,0,0,no,hunger_small,no,yes,half,no,,malnour_very_few,no_too_far,shelter_bricks,no,,,,no,heating_wood,no,no,,meds_expensive,yes,disease_cause,no,yes,no,yes,no,,piped_public,,almost_all,water_none,yes,yes,hh_pit,good,none,0,0,0,0,0,0,0,1,0,none,0,0,0,0,0,0,0,1,0,none,,no,no,no,no,,,,,,,,,,,yes,no,no,yes,account_more_half,64358648,cf323a83-4acd-4406-bb93-a384038784e4,2019-08-08T13:09:17,8/8/2019,,357,kunar_2,Conflict Intensity
2019-08-08T16:34:47.705+05,2019-08-08T17:08:12.751+05,43685,3.60E+14,,2,yes,,,sector_village_admin,,eastern,kunar,shigal,shengash_dara,sora_now,,sora_now,shengash_dara_sora_now,#REF!,face_to_face,yes,,,,events_drought,0,0,0,0,1,0,0,events_none,0,0,0,0,0,1,0,,,no,no,activity_ag,no,,,,,,,,,,,,yes,no,no,no,,,,,,,,,info_outside_comm,connect_few_days,account_very_few,yes,,access_2h,needs_health needs_seeds needs_employment,0,0,1,1,1,0,0,0,0,0,0,0,0,no,hunger_small,no,yes,half,no,,malnour_very_few,no_too_far,shelter_bricks,no,,,,no,heating_wood,no,no,,meds_expensive,no,disease_cause,no,no,no,yes,no,,piped_public,,almost_all,water_none,no,yes,hh_pit,good,none,0,0,0,0,0,0,0,1,0,none,0,0,0,0,0,0,0,1,0,none,,no,no,no,no,,,,,,,,,,,yes,no,no,yes,account_more_half,64358650,9b187be6-569b-41d5-968f-6e83ce9e29da,2019-08-08T13:09:20,8/8/2019,,358,kunar_2,Conflict Intensity
2019-08-08T08:28:20.240+04:30,2019-08-08T09:05:29.488+04:30,43685,3.56E+14,,3,yes,,,sector_education,,north_eastern,takhar,khwaja_gahr,chechkah,haji_afzal,,haji_afzal,chechkah_haji_afzal,#REF!,face_to_face,yes,,,,events_active_conflict events_drought,1,0,0,0,1,0,0,events_active_conflict,1,0,0,0,0,0,0,yes,displ_20_50_hh,yes,yes,activity_ag,yes,,yes_livestock_impact yes_ag_impact yes_income_impact,1,1,1,0,0,0,,livestock_left,ag_impact_less_half,yes,yes,yes,no,,,,,,,,,info_outside_comm,connect_few_hrs,account_very_few,yes,,access_half_day,needs_food needs_health needs_education,0,1,1,0,0,0,0,0,0,1,0,0,0,no,hunger_bad,yes,yes,half,yes,half,malnour_less_half,no_too_expensive,shelter_bricks,yes,yes_conflict,less_20_hh,very_few,yes,heating_dung,yes,yes,no,meds_expensive,yes,conflict_cause,no,yes,yes,yes,no,yes,pump_public,damage_none,half,water_not_functioning,yes,no,street_open_space,okay,verbal_threat assault_no_weapon assault_weapon hinder_move forced_work forced_detained,1,1,1,1,1,1,0,0,0,verbal_threat assault_no_weapon assault_weapon hinder_move,1,1,1,1,0,0,0,0,0,targeting_women,,yes,yes,yes,yes,constrain_service_access constrain_playing_access livelihood_income psych_wellbeing,1,1,1,1,0,0,0,yes,,yes,yes,yes,yes,account_more_half,64360252,d588e696-7c57-4188-9ed3-920c9d18c84a,2019-08-08T13:21:27,8/8/2019,,359,takhar_3,Mix
2019-08-08T09:49:16.062+04:30,2019-08-08T10:24:11.337+04:30,43685,3.56E+14,,3,yes,,,sector_village_admin,,north_eastern,takhar,khwaja_gahr,chechkah,haji_sefr_mohammad,,haji_sefr_mohammad,chechkah_haji_sefr_mohammad,#REF!,face_to_face,yes,,,,events_active_conflict events_flood events_drought,1,0,1,0,1,0,0,events_active_conflict events_flood,1,0,1,0,0,0,0,yes,displ_20hh_less,yes,yes,activity_ag,yes,,yes_livestock_impact yes_ag_impact yes_income_impact,1,1,1,0,0,0,,livestock_left,ag_impact_less_half,yes,yes,yes,no,,,,,,,,,info_outside_comm,connect_few_hrs,account_very_few,yes,,access_half_day,needs_food needs_health needs_education,0,1,1,0,0,0,0,0,0,1,0,0,0,no,hunger_small,yes,yes,very_few,yes,half,malnour_less_half,no_not_accessible,shelter_bricks,yes,yes_conflict,less_20_hh,very_few,no,heating_dung,yes,yes,no,meds_not_available,yes,conflict_cause,no,yes,yes,yes,no,yes,pump_public,damage_disaster,half,water_points_amount,yes,no,street_open_space,okay,verbal_threat assault_no_weapon assault_weapon hinder_move,1,1,1,1,0,0,0,0,0,verbal_threat hinder_move,1,0,0,1,0,0,0,0,0,targeting_women,,no,no,yes,yes,constrain_service_access constrain_playing_access livelihood_income psych_wellbeing,1,1,1,1,0,0,0,yes,yes,yes,yes,yes,yes,account_more_half,64360260,af6ca7d1-03da-4fe2-9945-5342dbc94008,2019-08-08T13:21:34,8/8/2019,,360,takhar_3,Mix
2019-08-08T10:45:56.014+04:30,2019-08-08T11:28:57.262+04:30,43685,3.56E+14,,3,yes,,,sector_village_admin,,north_eastern,takhar,khwaja_gahr,shar_bain,warz_bacha,,warz_bacha,shar_bain_warz_bacha,#REF!,face_to_face,yes,,,,events_active_conflict events_flood events_drought,1,0,1,0,1,0,0,events_active_conflict events_drought,1,0,0,0,1,0,0,yes,displ_20_50_hh,yes,no,activity_labour,,,yes_livestock_impact yes_ag_impact yes_income_impact,1,1,1,0,0,0,,livestock_left,ag_impact_half,yes,yes,yes,no,,,,,,,,,info_outside_comm,connect_few_hrs,account_very_few,yes,,access_2h,needs_food needs_health needs_water,0,1,1,0,0,1,0,0,0,0,0,0,0,no,hunger_bad,yes,yes,half,yes,half,malnour_less_half,no_too_expensive,shelter_bricks,yes,yes_both,less_20_hh,very_few,no,heating_dung,yes,no,no,meds_expensive,yes,conflict_cause,yes,yes,yes,yes,yes,yes,sfc_water,damage_none,very_few,water_too_far,yes,no,street_open_space,very_poor,verbal_threat assault_no_weapon assault_weapon hinder_move,1,1,1,1,0,0,0,0,0,verbal_threat assault_no_weapon assault_weapon hinder_move,1,1,1,1,0,0,0,0,0,targeting_women,,no,no,no_answer,yes,constrain_service_access constrain_playing_access livelihood_income psych_wellbeing death_disability,1,1,1,1,1,0,0,yes,,yes,yes,yes,yes,account_more_half,64360277,1520c016-02ad-4598-bedb-c7f5456be56d,2019-08-08T13:21:44,8/8/2019,,361,takhar_3,Mix
2019-08-08T13:16:34.595+04:30,2019-08-08T13:55:05.704+04:30,43685,3.56E+14,,3,yes,,,sector_official_employement,social worker,north_eastern,takhar,khwaja_gahr,chechkah,haji_abdul_khalegh,,haji_abdul_khalegh,chechkah_haji_abdul_khalegh,#REF!,face_to_face,yes,,,,events_active_conflict events_flood events_drought,1,0,1,0,1,0,0,events_active_conflict events_flood,1,0,1,0,0,0,0,yes,displ_20hh_less,yes,no,activity_labour,,,yes_livestock_impact yes_ag_impact yes_income_impact,1,1,1,0,0,0,,livestock_died,ag_impact_less_half,yes,yes,yes,no,,,,,,,,,info_outside_comm,connect_few_hrs,account_very_few,yes,,access_half_day,needs_food needs_health needs_employment,0,1,1,0,1,0,0,0,0,0,0,0,0,no,hunger_bad,yes,yes,more_half,yes,half,malnour_less_half,no_too_expensive,shelter_bricks,yes,yes_both,less_20_hh,very_few,no_answer,heating_dung,yes,yes,no,meds_not_available,no,conflict_cause,no,yes,yes,yes,yes,yes,sfc_water,damage_disaster,very_few,water_not_functioning,yes,no,street_open_space,okay,verbal_threat hinder_move,1,0,0,1,0,0,0,0,0,hinder_move,0,0,0,1,0,0,0,0,0,targeting_women,,no_answer,no,no,yes,constrain_service_access constrain_playing_access livelihood_income psych_wellbeing,1,1,1,1,0,0,0,yes,yes,yes,yes,yes,yes,account_more_half,64360282,f5647f75-8d0d-4ded-b053-e4be1ebd1114,2019-08-08T13:21:52,8/8/2019,,362,takhar_3,Mix
