"","district_reporting","total_settlements","school_not_attend_perc","no_edu_children_perc","children_removed_perc","no_edu_children","school_not_attend","children_removed","htr_eie_score","htr_eie_rank","htr_eie_rank_high"
"1","ab_band",18,0.888888888888889,0.277777777777778,0.777777777777778,2,6,12,20,20,20
"2","alishang",33,0.0909090909090909,0.0606060606060606,0.393939393939394,0,0,4,4,2,0
"3","almar",36,0.555555555555556,0.0833333333333333,0.333333333333333,0,4,4,8,3,1
"4","andar",44,0.977272727272727,0.204545454545455,0.977272727272727,0,6,12,18,18,18
"5","andkhoy",22,0.318181818181818,0.681818181818182,0.727272727272727,4,2,8,14,4,1
"6","arghandab_zabul",32,0.78125,0.59375,0,4,6,0,10,3,1
"7","arghestan",49,0.918367346938776,0.836734693877551,0.244897959183673,6,6,0,12,4,1
"8","baghlan_e_jadid",47,0.723404255319149,0.0425531914893617,0.234042553191489,0,4,0,4,2,0
"9","baghran",38,1,0.894736842105263,0.0263157894736842,6,6,0,12,4,1
"10","bakwa",25,1,0.64,0.12,4,6,0,10,3,1
"11","bala_buluk",30,1,0.866666666666667,0.166666666666667,6,6,0,12,4,1
"12","bala_murghab",34,1,0.911764705882353,0.117647058823529,6,6,0,12,4,1
"13","bar_kunar",15,0.0666666666666667,0.4,0,2,0,0,2,1,0
"14","barmal",34,1,0.911764705882353,0,6,6,0,12,4,1
"15","bilcheragh",6,0.666666666666667,0,0.833333333333333,0,4,12,16,4,1
"16","chahar_darah",51,0.901960784313726,0.117647058823529,0.313725490196078,0,6,4,10,3,1
"17","chak_e_wardak",37,0.783783783783784,0.216216216216216,0.486486486486487,0,6,4,10,3,1
"18","chapa_dara",23,0.478260869565217,0.391304347826087,0.173913043478261,2,2,0,4,2,0
"19","chaparhar",41,0.0731707317073171,0,0.268292682926829,0,0,4,4,2,0
"20","charsadra",15,1,0.533333333333333,1,4,6,12,22,22,22
"21","chinarto",17,1,0.882352941176471,0.882352941176471,6,6,12,24,24,24
"22","chora",12,1,0.75,0.833333333333333,6,6,12,24,24,24
"23","dahana_e_ghori",25,1,0,0.64,0,6,8,14,4,1
"24","dara_e_pech",34,1,0.0294117647058824,0.0588235294117647,0,6,0,6,2,0
"25","dasht_e_archi",26,0.153846153846154,0.0769230769230769,0.0769230769230769,0,0,0,0,1,0
"26","dawlat_abad_faryab",14,1,1,1,6,6,12,24,24,24
"27","daychopan",26,1,0.961538461538462,0,6,6,0,12,4,1
"28","deh_bala",26,0.384615384615385,0.346153846153846,0.230769230769231,2,2,0,4,2,0
"29","deh_e_shu",32,1,0.84375,0,6,6,0,12,4,1
"30","deh_yak",15,1,0.2,0.133333333333333,0,6,0,6,2,0
"31","dehrawud",25,1,0.56,0,4,6,0,10,3,1
"32","eshkmesh",16,0.3125,0.1875,0.8125,0,2,12,14,4,1
"33","farah",33,0.303030303030303,0.242424242424242,0.575757575757576,0,2,8,10,3,1
"34","garmser",36,0.916666666666667,0.0277777777777778,0.916666666666667,0,6,12,18,18,18
"35","garzewan",30,0.866666666666667,0.4,0.633333333333333,2,6,8,16,4,1
"36","ghazi_abad",23,0.565217391304348,0.0434782608695652,0,0,4,0,4,2,0
"37","ghorak",17,1,1,0.705882352941177,6,6,8,20,20,20
"38","ghormach",24,0.875,0.875,0.125,6,6,0,12,4,1
"39","giro",21,1,0.142857142857143,0,0,6,0,6,2,0
"40","gomal",35,0.914285714285714,0.0285714285714286,0.657142857142857,0,6,8,14,4,1
"41","hesarak",33,0.96969696969697,0.0909090909090909,0.848484848484849,0,6,12,18,18,18
"42","imam_sahib",60,0.333333333333333,0.116666666666667,0.316666666666667,0,2,4,6,2,0
"43","jawand",72,0.958333333333333,0.861111111111111,0.319444444444444,6,6,4,16,4,1
"44","jorm",24,0.333333333333333,0.125,0.875,0,2,12,14,4,1
"45","kakar",37,1,0.972972972972973,0.0540540540540541,6,6,0,12,4,1
"46","khak_e_safed",16,0.875,0.5625,0,4,6,0,10,3,1
"47","khakrez",36,0.944444444444444,0.944444444444444,0.111111111111111,6,6,0,12,4,1
"48","khan_abad",28,0.821428571428571,0.178571428571429,0.714285714285714,0,6,8,14,4,1
"49","khas_kunar",20,0.15,0,0,0,0,0,0,1,0
"50","khas_uruzgan",46,0.760869565217391,0.41304347826087,0.173913043478261,2,6,0,8,3,1
"51","khogyani",39,0.512820512820513,0.333333333333333,0.282051282051282,2,4,4,10,3,1
"52","khwaja_gahr",26,0.423076923076923,0.115384615384615,0.730769230769231,0,2,8,10,3,1
"53","khwaja_sabz_posh",20,0.35,0.3,0.55,2,2,8,12,4,1
"54","kot",14,0.285714285714286,0.142857142857143,0,0,2,0,2,1,0
"55","lashkargah",33,0.909090909090909,0,0.333333333333333,0,6,4,10,3,1
"56","marawara",15,0.333333333333333,0.133333333333333,0.133333333333333,0,2,0,2,1,0
"57","maruf",77,1,0.987012987012987,0.038961038961039,6,6,0,12,4,1
"58","maywand",44,0.886363636363636,0.886363636363636,0,6,6,0,12,4,1
"59","mohammad_agha",38,0.842105263157895,0.947368421052632,0.157894736842105,6,6,0,12,4,1
