"","district_reporting","shelter_type_severe_perc","no_shelter_open_perc","shelter_destroyed_extreme_perc","shelter_destroyed_severe_perc","nfi_market_perc","shelter_type_severe","no_shelter_open","shelter_destroyed_extreme","shelter_destroyed_severe","nfi_market","htr_esnfi_score","htr_esnfi_rank","htr_esnfi_rank_high"
"1","ab_band",0,0.166666666666667,0,0,0.555555555555556,0,0,0,0,2,2,1,0
"2","alishang",0,0.303030303030303,0,0.181818181818182,0.909090909090909,0,1,0,0,4,5,2,0
"3","almar",0.138888888888889,0.25,0,0.138888888888889,0.888888888888889,0,0,0,0,4,4,1,0
"4","andar",0,0.795454545454545,0.0227272727272727,0.0454545454545455,0.931818181818182,0,2,0,0,4,6,2,0
"5","andkhoy",0,0.136363636363636,0,0.272727272727273,0.772727272727273,0,0,0,2,4,6,2,0
"6","arghandab_zabul",0,0.03125,0,0.0625,1,0,0,0,0,4,4,1,0
"7","arghestan",0,0.510204081632653,0,0.0612244897959184,0.836734693877551,0,2,0,0,4,6,2,0
"8","baghlan_e_jadid",0.148936170212766,0,0,0,0.170212765957447,0,0,0,0,0,0,1,0
"9","baghran",0,0.473684210526316,0,0,0.921052631578947,0,1,0,0,4,5,2,0
"10","bakwa",0,0,0,0,0.72,0,0,0,0,2,2,1,0
"11","bala_buluk",0,0.2,0.166666666666667,0.1,0.866666666666667,0,0,0,0,4,4,1,0
"12","bala_murghab",0.352941176470588,0.0588235294117647,0.0588235294117647,0.294117647058824,0.823529411764706,2,0,0,2,4,8,2,0
"13","bar_kunar",0,0,0,0,0.866666666666667,0,0,0,0,4,4,1,0
"14","barmal",0.147058823529412,0.411764705882353,0.0588235294117647,0.0294117647058824,0.529411764705882,0,1,0,0,2,3,1,0
"15","bilcheragh",0.5,0,0,0.166666666666667,1,2,0,0,0,4,6,2,0
"16","chahar_darah",0.0980392156862745,0.137254901960784,0.0196078431372549,0.0980392156862745,0.980392156862745,0,0,0,0,4,4,1,0
"17","chak_e_wardak",0,0.027027027027027,0,0.0810810810810811,0.540540540540541,0,0,0,0,2,2,1,0
"18","chapa_dara",0.0434782608695652,0,0,0.0434782608695652,0.869565217391304,0,0,0,0,4,4,1,0
"19","chaparhar",0,0.219512195121951,0,0,0.878048780487805,0,0,0,0,4,4,1,0
"20","charsadra",0.666666666666667,0,0,0.6,0.933333333333333,4,0,0,4,4,12,3,1
"21","chinarto",0.117647058823529,0.117647058823529,0.705882352941177,0.294117647058824,0.941176470588235,0,0,6,2,4,12,3,1
"22","chora",0.0833333333333333,0.166666666666667,0.833333333333333,0.0833333333333333,1,0,0,6,0,4,10,3,1
"23","dahana_e_ghori",0.16,0,0,0,0.68,0,0,0,0,2,2,1,0
"24","dara_e_pech",0,0.0588235294117647,0,0,0.852941176470588,0,0,0,0,4,4,1,0
"25","dasht_e_archi",0.0769230769230769,0.230769230769231,0,0.0384615384615385,0.538461538461538,0,0,0,0,2,2,1,0
"26","dawlat_abad_faryab",0.285714285714286,0.928571428571429,0.428571428571429,0,0.5,2,2,3,0,0,7,2,0
"27","daychopan",0,0,0,0,1,0,0,0,0,4,4,1,0
"28","deh_bala",0,0.0384615384615385,0.0384615384615385,0.192307692307692,1,0,0,0,0,4,4,1,0
"29","deh_e_shu",0.03125,0.09375,0.03125,0.1875,0.9375,0,0,0,0,4,4,1,0
"30","deh_yak",0,0.2,0.0666666666666667,0,0.733333333333333,0,0,0,0,2,2,1,0
"31","dehrawud",0.08,0.04,0,0,0.68,0,0,0,0,2,2,1,0
"32","eshkmesh",0,0.375,0.1875,0.3125,0,0,1,0,2,0,3,1,0
"33","farah",0.181818181818182,0.272727272727273,0.0303030303030303,0.0606060606060606,0.909090909090909,0,1,0,0,4,5,2,0
"34","garmser",0,0.222222222222222,0.194444444444444,0.222222222222222,0.111111111111111,0,0,0,0,0,0,1,0
"35","garzewan",0.166666666666667,0.333333333333333,0.133333333333333,0.4,0.866666666666667,0,1,0,2,4,7,2,0
"36","ghazi_abad",0,0.0434782608695652,0,0,0.826086956521739,0,0,0,0,4,4,1,0
"37","ghorak",0,0.882352941176471,0,0.294117647058824,0,0,2,0,2,0,4,1,0
"38","ghormach",0.0416666666666667,0.25,0,0.166666666666667,0.666666666666667,0,0,0,0,2,2,1,0
"39","giro",0,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.952380952380952,0,0,0,0,4,4,1,0
"40","gomal",0.314285714285714,0.514285714285714,0.114285714285714,0.0857142857142857,0.771428571428571,2,2,0,0,4,8,2,0
"41","hesarak",0,0,0.0303030303030303,0.727272727272727,1,0,0,0,4,4,8,2,0
"42","imam_sahib",0.0166666666666667,0.466666666666667,0.0833333333333333,0.05,0.0666666666666667,0,1,0,0,0,1,1,0
"43","jawand",0.805555555555556,0.180555555555556,0.0416666666666667,0.0694444444444444,0.638888888888889,4,0,0,0,2,6,2,0
"44","jorm",0,0.583333333333333,0.0833333333333333,0.25,0.625,0,2,0,0,2,4,1,0
