"","district_reporting","more_people_died_perc","health_functioning_access_perc","health_closed_perc","birth_hospital_perc","health_prio_perc","more_people_died","health_functioning_access","health_closed","birth_hospital","health_prio","htr_health_score","htr_health_rank","htr_health_rank_high"
"1","ab_band",0.388888888888889,0.333333333333333,0.5,0.222222222222222,0.333333333333333,1,3,6,0,2,12,3,1
"2","alishang",0.575757575757576,0,0.0606060606060606,0.272727272727273,0.636363636363636,2,0,0,1,4,7,2,0
"3","almar",0.0833333333333333,0.388888888888889,0.222222222222222,0.444444444444444,0.777777777777778,0,3,0,1,6,10,3,1
"4","andar",0.0227272727272727,0.727272727272727,0.181818181818182,0.704545454545455,0.613636363636364,0,6,0,2,4,12,3,1
"5","andkhoy",0.181818181818182,0.181818181818182,0.0454545454545455,0.181818181818182,0.454545454545455,0,0,0,0,2,2,1,0
"6","arghandab_zabul",0.25,0.78125,0.03125,1,0.34375,1,9,0,3,2,15,4,1
"7","arghestan",0.530612244897959,0.918367346938776,0.0204081632653061,0.918367346938776,0.73469387755102,2,9,0,3,4,18,4,1
"8","baghlan_e_jadid",0.0212765957446809,0.127659574468085,0.0638297872340425,0.106382978723404,0.148936170212766,0,0,0,0,0,0,1,0
"9","baghran",0.289473684210526,0.710526315789474,0.0526315789473684,0.921052631578947,0.631578947368421,1,6,0,3,4,14,3,1
"10","bakwa",0.2,0.36,0.04,0.4,0.8,0,3,0,1,6,10,3,1
"11","bala_buluk",0.0333333333333333,0.666666666666667,0.3,0.766666666666667,1,0,6,3,3,6,18,4,1
"12","bala_murghab",0.147058823529412,0.882352941176471,0.176470588235294,0.970588235294118,0.470588235294118,0,9,0,3,2,14,3,1
"13","bar_kunar",0,0.666666666666667,0,0.133333333333333,0.6,0,6,0,0,4,10,3,1
"14","barmal",0,0.764705882352941,0.147058823529412,0.941176470588235,0.676470588235294,0,9,0,3,4,16,4,1
"15","bilcheragh",0.166666666666667,0.166666666666667,0,0.5,0.833333333333333,0,0,0,2,6,8,2,0
"16","chahar_darah",0.980392156862745,0.862745098039216,0.0980392156862745,0.764705882352941,0.803921568627451,3,9,0,3,6,21,21,21
"17","chak_e_wardak",0.486486486486487,0.108108108108108,0.675675675675676,0.540540540540541,0.837837837837838,1,0,6,2,6,15,4,1
"18","chapa_dara",0.217391304347826,0.565217391304348,0.173913043478261,0.782608695652174,0.260869565217391,0,6,0,3,2,11,3,1
"19","chaparhar",0.024390243902439,0.0731707317073171,0.146341463414634,0.609756097560976,0.609756097560976,0,0,0,2,4,6,2,0
"20","charsadra",0.733333333333333,0.733333333333333,0.0666666666666667,0.866666666666667,0.733333333333333,2,6,0,3,4,15,4,1
"21","chinarto",1,0.941176470588235,0.176470588235294,0.941176470588235,0.705882352941177,3,9,0,3,4,19,4,1
"22","chora",1,0.666666666666667,1,0.75,0.833333333333333,3,6,9,3,6,27,27,27
"23","dahana_e_ghori",0.56,0.68,0.04,0.56,0.04,2,6,0,2,0,10,3,1
"24","dara_e_pech",1,0.558823529411765,0.0588235294117647,0.5,1,3,6,0,2,6,17,4,1
"25","dasht_e_archi",0.153846153846154,0,0.0769230769230769,0.307692307692308,0.307692307692308,0,0,0,1,2,3,1,0
"26","dawlat_abad_faryab",0.928571428571429,0.785714285714286,0.5,0.857142857142857,0.714285714285714,3,9,6,3,4,25,25,25
"27","daychopan",0.0384615384615385,1,0,0.923076923076923,0.846153846153846,0,9,0,3,6,18,4,1
"28","deh_bala",0.115384615384615,0.307692307692308,0.192307692307692,0.307692307692308,0.576923076923077,0,3,0,1,4,8,2,0
"29","deh_e_shu",0,0.9375,0,0.9375,1,0,9,0,3,6,18,4,1
"30","deh_yak",0.133333333333333,0.133333333333333,0,0.533333333333333,0.6,0,0,0,2,4,6,2,0
"31","dehrawud",0,0.44,0.04,0.52,0.92,0,3,0,2,6,11,3,1
"32","eshkmesh",0.375,0.4375,0.875,0.4375,0.1875,1,3,9,1,0,14,3,1
"33","farah",0.121212121212121,0.424242424242424,0.0909090909090909,0.151515151515152,0.848484848484849,0,3,0,0,6,9,3,1
"34","garmser",0,0.0277777777777778,0.638888888888889,0.916666666666667,0.222222222222222,0,0,6,3,0,9,3,1
"35","garzewan",0.833333333333333,0.3,0.0666666666666667,0.8,0.9,3,3,0,3,6,15,4,1
"36","ghazi_abad",0.391304347826087,0.521739130434783,0,0.565217391304348,0.565217391304348,1,6,0,2,4,13,3,1
"37","ghorak",0.352941176470588,0.176470588235294,0.352941176470588,0.529411764705882,0.823529411764706,1,0,3,2,6,12,3,1
"38","ghormach",0.125,0.5,0.0416666666666667,0.291666666666667,0.875,0,6,0,1,6,13,3,1
"39","giro",0.142857142857143,0.285714285714286,0.0476190476190476,0.952380952380952,0.904761904761905,0,3,0,3,6,12,3,1
"40","gomal",0.457142857142857,0.685714285714286,0,0.885714285714286,0.6,1,6,0,3,4,14,3,1
"41","hesarak",0.636363636363636,0.212121212121212,0.424242424242424,0.575757575757576,0.545454545454545,2,0,3,2,4,11,3,1
