"","district_reporting","nutrition_no_access_perc","malnut_extreme_perc","malnut_severe_perc","malnut_stress_perc","nutrition_no_access","malnut_extreme","malnut_severe","malnut_stress","malnutrition_score","htr_nut_score","htr_nut_rank","htr_nut_rank_high"
"1","ab_band",0.666666666666667,0,0.333333333333333,0.277777777777778,6,0,2,1,2,8,3,1
"2","alishang",0.848484848484849,0.212121212121212,0.393939393939394,0.393939393939394,6,0,2,1,2,8,3,1
"3","almar",0.833333333333333,0,0.138888888888889,0.861111111111111,6,0,0,2,2,8,3,1
"4","andar",0.909090909090909,0.181818181818182,0.454545454545455,0.363636363636364,6,0,2,1,2,8,3,1
"5","andkhoy",0.318181818181818,0.136363636363636,0.818181818181818,0.0454545454545455,3,0,4,0,4,7,3,1
"6","arghandab_zabul",0.90625,0,0,0.9375,6,0,0,2,2,8,3,1
"7","arghestan",0.959183673469388,0.122448979591837,0.571428571428571,0.306122448979592,6,0,4,1,4,10,4,1
"8","baghlan_e_jadid",0.319148936170213,0,0,1,3,0,0,2,2,5,2,0
"9","baghran",0.868421052631579,0.710526315789474,0.210526315789474,0.0789473684210526,6,6,0,0,6,12,4,1
"10","bakwa",0.4,0.04,0.16,0.4,3,0,0,1,1,4,2,0
"11","bala_buluk",0.8,0.0333333333333333,0.0333333333333333,0.9,6,0,0,2,2,8,3,1
"12","bala_murghab",1,0.705882352941177,0.294117647058824,0,6,6,2,0,6,12,4,1
"13","bar_kunar",0.6,0,0.333333333333333,0.666666666666667,6,0,2,2,2,8,3,1
"14","barmal",0.970588235294118,0.588235294117647,0.264705882352941,0.117647058823529,6,6,2,0,6,12,4,1
"15","bilcheragh",0.833333333333333,0.166666666666667,0.333333333333333,0.166666666666667,6,0,2,0,2,8,3,1
"16","chahar_darah",0.96078431372549,0,0.490196078431373,0.450980392156863,6,0,2,1,2,8,3,1
"17","chak_e_wardak",0.594594594594595,0.459459459459459,0.027027027027027,0.486486486486487,6,3,0,1,1,7,3,1
"18","chapa_dara",0.782608695652174,0.0869565217391304,0.217391304347826,0.695652173913043,6,0,0,2,2,8,3,1
"19","chaparhar",0.780487804878049,0.585365853658537,0.414634146341463,0,6,6,2,0,6,12,4,1
"20","charsadra",0.933333333333333,0.133333333333333,0.866666666666667,0,6,0,4,0,4,10,4,1
"21","chinarto",1,0.0588235294117647,0.352941176470588,0.588235294117647,6,0,2,2,2,8,3,1
"22","chora",1,0.583333333333333,0.166666666666667,0.25,6,6,0,0,6,12,4,1
"23","dahana_e_ghori",0.96,0,0,1,6,0,0,2,2,8,3,1
"24","dara_e_pech",1,0,0.0294117647058824,0.970588235294118,6,0,0,2,2,8,3,1
"25","dasht_e_archi",0.384615384615385,0.423076923076923,0.307692307692308,0.269230769230769,3,3,2,1,2,5,2,0
"26","dawlat_abad_faryab",1,0.357142857142857,0.571428571428571,0.0714285714285714,6,3,4,0,4,10,4,1
"27","daychopan",0.961538461538462,0,0,0.115384615384615,6,0,0,0,0,6,2,0
"28","deh_bala",0.653846153846154,0.115384615384615,0.5,0.384615384615385,6,0,2,1,2,8,3,1
"29","deh_e_shu",1,0,0.125,0.78125,6,0,0,2,2,8,3,1
"30","deh_yak",0.4,0.466666666666667,0.266666666666667,0.266666666666667,3,3,2,1,2,5,2,0
"31","dehrawud",0.72,0.28,0.64,0.04,6,3,4,0,4,10,4,1
"32","eshkmesh",0.875,0,0.8125,0.1875,6,0,4,0,4,10,4,1
"33","farah",0.818181818181818,0.0303030303030303,0,0.909090909090909,6,0,0,2,2,8,3,1
"34","garmser",1,1,0,0,6,6,0,0,6,12,4,1
"35","garzewan",1,0.1,0.266666666666667,0.6,6,0,2,2,2,8,3,1
"36","ghazi_abad",0.565217391304348,0.0434782608695652,0.304347826086957,0.434782608695652,6,0,2,1,2,8,3,1
"37","ghorak",0.705882352941177,0.0588235294117647,0.470588235294118,0.470588235294118,6,0,2,1,2,8,3,1
"38","ghormach",0.958333333333333,0.291666666666667,0.666666666666667,0.0416666666666667,6,3,4,0,4,10,4,1
