"","district_reporting","unprotect_water_extreme_perc","unprotect_water_severe_perc","waste_disposal_severe_perc","water_no_access_perc","soap_access_perc","unprotect_water_extreme","unprotect_water_severe","waste_disposal_severe","water_no_access","soap_access","htr_wash_score","htr_wash_rank","htr_wash_high"
"1","ab_band",0,0.333333333333333,0.555555555555556,0,0.333333333333333,0,4,1,0,1,6,2,0
"2","alishang",0.181818181818182,0.181818181818182,0.96969696969697,0.0606060606060606,0,3,2,2,0,0,7,2,0
"3","almar",0.194444444444444,0.111111111111111,1,0.0555555555555556,0,3,0,2,0,0,5,2,0
"4","andar",0,0.0454545454545455,0.954545454545455,0.340909090909091,0,0,0,2,3,0,5,2,0
"5","andkhoy",0,0.590909090909091,0.681818181818182,0.0909090909090909,0.0454545454545455,0,4,1,0,0,5,2,0
"6","arghandab_zabul",0.625,0.21875,0.125,0,0.1875,6,2,0,0,0,8,2,0
"7","arghestan",0.163265306122449,0.489795918367347,1,0.142857142857143,0.346938775510204,3,4,2,0,1,10,3,1
"8","baghlan_e_jadid",0.191489361702128,0.276595744680851,0.404255319148936,0.170212765957447,0,3,2,0,0,0,5,2,0
"9","baghran",0.0526315789473684,0.131578947368421,0.973684210526316,0.263157894736842,0.0789473684210526,0,0,2,3,0,5,2,0
"10","bakwa",0,0.12,0.96,0,0.16,0,0,2,0,0,2,1,0
"11","bala_buluk",0.0666666666666667,0.366666666666667,1,0.0333333333333333,0.633333333333333,0,4,2,0,2,8,2,0
"12","bala_murghab",0.617647058823529,0.352941176470588,1,0.470588235294118,0.588235294117647,6,4,2,3,2,17,4,1
"13","bar_kunar",0.866666666666667,0,0.266666666666667,0.866666666666667,0.133333333333333,6,0,0,6,0,12,3,1
"14","barmal",0,0.294117647058824,0.941176470588235,0.0294117647058824,0.264705882352941,0,2,2,0,1,5,2,0
"15","bilcheragh",0.166666666666667,0.5,1,0,0.333333333333333,3,4,2,0,1,10,3,1
"16","chahar_darah",0.0784313725490196,0.588235294117647,0.941176470588235,0.411764705882353,0.274509803921569,0,4,2,3,1,10,3,1
"17","chak_e_wardak",0.108108108108108,0.0810810810810811,1,0.0810810810810811,0.027027027027027,0,0,2,0,0,2,1,0
"18","chapa_dara",0.304347826086957,0.130434782608696,0.956521739130435,0.0434782608695652,0.608695652173913,3,0,2,0,2,7,2,0
"19","chaparhar",0,0.0487804878048781,1,0,0.0487804878048781,0,0,2,0,0,2,1,0
"20","charsadra",0.0666666666666667,0.266666666666667,0.933333333333333,0.4,0.866666666666667,0,2,2,3,2,9,3,1
"21","chinarto",0.470588235294118,0.117647058823529,1,0,0.764705882352941,6,0,2,0,2,10,3,1
"22","chora",0,0.75,0.916666666666667,0.0833333333333333,0,0,4,2,0,0,6,2,0
"23","dahana_e_ghori",0.36,0.48,1,0.12,0.04,6,4,2,0,0,12,3,1
"24","dara_e_pech",0,0.323529411764706,0.0294117647058824,0.911764705882353,0.0294117647058824,0,2,0,6,0,8,2,0
"25","dasht_e_archi",0.576923076923077,0.153846153846154,1,0.346153846153846,0.0384615384615385,6,0,2,3,0,11,3,1
"26","dawlat_abad_faryab",0.142857142857143,0.285714285714286,0.928571428571429,0.214285714285714,0.357142857142857,0,2,2,0,1,5,2,0
"27","daychopan",0.653846153846154,0.153846153846154,1,0,0.423076923076923,6,0,2,0,1,9,3,1
"28","deh_bala",0,0.230769230769231,1,0.0769230769230769,0.346153846153846,0,2,2,0,1,5,2,0
"29","deh_e_shu",0.53125,0.46875,0.9375,0,0.6875,6,4,2,0,2,14,3,1
"30","deh_yak",0,0.733333333333333,0.266666666666667,0,0,0,4,0,0,0,4,1,0
"31","dehrawud",0,0.24,0.92,0,0.16,0,2,2,0,0,4,1,0
"32","eshkmesh",0.1875,0.5625,0.625,0.0625,0,3,4,1,0,0,8,2,0
"33","farah",0,0,0.878787878787879,0.0303030303030303,0.363636363636364,0,0,2,0,1,3,1,0
"34","garmser",0.388888888888889,0,1,0,0,6,0,2,0,0,8,2,0
"35","garzewan",0.833333333333333,0,1,0.333333333333333,0.0333333333333333,6,0,2,3,0,11,3,1
"36","ghazi_abad",0.434782608695652,0.304347826086957,0.0434782608695652,0.0434782608695652,0.173913043478261,6,2,0,0,0,8,2,0
"37","ghorak",0.176470588235294,0.235294117647059,1,0.294117647058824,0,3,2,2,3,0,10,3,1
"38","ghormach",0.25,0.0833333333333333,0.875,0.291666666666667,0.75,3,0,2,3,2,10,3,1
"39","giro",0,0.0476190476190476,1,0,0.0476190476190476,0,0,2,0,0,2,1,0
"40","gomal",0.0571428571428571,0.514285714285714,0.742857142857143,0.0857142857142857,0,0,4,1,0,0,5,2,0
"41","hesarak",0,0.0303030303030303,0.909090909090909,0.0303030303030303,0.393939393939394,0,0,2,0,1,3,1,0
"42","imam_sahib",0.1,0.0166666666666667,0.983333333333333,0.55,0.0833333333333333,0,0,2,6,0,8,2,0
